GenomeLocID	Chromosome	Strand	EndLoc	Size	StartLoc
74	chr14	Forward	19009827	\N	19009826
75	chr14	Forward	19009874	\N	19009873
76	chr14	Forward	19010114	\N	19010113
77	chr14	Forward	19010284	\N	19010283
78	chr14	Forward	19010726	\N	19010725
79	chr14	Forward	19010845	\N	19010844
80	chr14	Forward	19011159	\N	19011158
81	chr14	Forward	19011347	\N	19011346
82	chr14	Forward	19011478	\N	19011477
83	chr14	Forward	19011541	\N	19011540
84	chr14	Forward	19011797	\N	19011796
85	chr14	Forward	19011852	\N	19011851
86	chr14	Forward	19012416	\N	19012415
87	chr14	Forward	19013465	\N	19013464
88	chr14	Forward	19014236	\N	19014235
89	chr14	Forward	19014674	\N	19014673
90	chr14	Forward	19016546	\N	19016545
91	chr14	Forward	19017334	\N	19017333
92	chr14	Forward	19018235	\N	19018234
93	chr14	Forward	19019260	\N	19019259
94	chr14	Forward	19019261	\N	19019260
95	chr14	Forward	19020534	\N	19020533
96	chr14	Forward	19020582	\N	19020581
97	chr14	Forward	19021860	\N	19021859
98	chr14	Forward	19023777	\N	19023776
99	chr14	Forward	19024280	\N	19024279
100	chr14	Forward	19024375	\N	19024374
101	chr14	Forward	19025260	\N	19025259
102	chr14	Forward	19028668	\N	19028667
103	chr14	Forward	19028669	\N	19028668
104	chr14	Forward	19032029	\N	19032028
105	chr14	Forward	19032399	\N	19032398
106	chr14	Forward	19032471	\N	19032470
107	chr14	Forward	19034194	\N	19034193
108	chr14	Forward	19034195	\N	19034194
109	chr14	Forward	19034864	\N	19034863
110	chr14	Forward	19035420	\N	19035419
111	chr14	Forward	19035495	\N	19035494
112	chr14	Forward	19035736	\N	19035735
113	chr14	Forward	19036041	\N	19036040
114	chr14	Forward	19036445	\N	19036444
115	chr14	Forward	19036512	\N	19036511
116	chr14	Forward	19036828	\N	19036827
117	chr14	Forward	19037254	\N	19037253
118	chr14	Forward	19037609	\N	19037608
119	chr14	Forward	19037613	\N	19037612
120	chr14	Forward	19038133	\N	19038132
121	chr14	Forward	19038830	\N	19038829
122	chr14	Forward	19039486	\N	19039485
123	chr14	Forward	19039516	\N	19039515
124	chr14	Forward	19039524	\N	19039523
125	chr14	Forward	19039660	\N	19039659
126	chr14	Forward	19040053	\N	19040052
127	chr14	Forward	19040055	\N	19040054
128	chr14	Forward	19040159	\N	19040158
129	chr14	Forward	19040174	\N	19040173
130	chr14	Forward	19040361	\N	19040360
131	chr14	Forward	19040585	\N	19040584
132	chr14	Forward	19040651	\N	19040650
133	chr14	Forward	19040679	\N	19040678
134	chr14	Forward	19040737	\N	19040736
135	chr14	Forward	19040742	\N	19040741
136	chr14	Forward	19040987	\N	19040986
137	chr14	Forward	19041371	\N	19041370
138	chr14	Forward	19041372	\N	19041371
139	chr14	Forward	19043036	\N	19043035
140	chr14	Forward	19043201	\N	19043200
141	chr14	Forward	19043207	\N	19043206
142	chr14	Forward	19043234	\N	19043233
143	chr14	Forward	19043323	\N	19043322
144	chr14	Forward	19043831	\N	19043830
145	chr14	Forward	19043851	\N	19043850
146	chr14	Forward	19043916	\N	19043915
147	chr14	Forward	19043922	\N	19043921
148	chr14	Forward	19043940	\N	19043939
149	chr14	Forward	19043975	\N	19043974
150	chr14	Forward	19044007	\N	19044006
151	chr14	Forward	19044255	\N	19044254
152	chr14	Forward	19044578	\N	19044577
153	chr14	Forward	19045284	\N	19045283
154	chr14	Forward	19045980	\N	19045979
155	chr14	Forward	19046057	\N	19046056
156	chr14	Forward	19046121	\N	19046120
157	chr14	Forward	19046637	\N	19046636
158	chr14	Forward	19046679	\N	19046678
159	chr14	Forward	19046883	\N	19046882
160	chr14	Forward	19047376	\N	19047375
161	chr14	Forward	19047931	\N	19047930
162	chr14	Forward	19047940	\N	19047939
163	chr14	Forward	19048065	\N	19048064
164	chr14	Forward	19048324	\N	19048323
165	chr14	Forward	19048870	\N	19048869
166	chr14	Forward	19049541	\N	19049540
167	chr14	Forward	19049544	\N	19049543
168	chr14	Forward	19050598	\N	19050597
169	chr14	Forward	19051164	\N	19051163
170	chr14	Forward	19051304	\N	19051303
171	chr14	Forward	19052029	\N	19052028
172	chr14	Forward	19052644	\N	19052643
173	chr14	Forward	19052923	\N	19052922
174	chr14	Forward	19053342	\N	19053341
175	chr14	Forward	19054706	\N	19054705
176	chr14	Forward	19054710	\N	19054709
177	chr14	Forward	19054941	\N	19054940
178	chr14	Forward	19055179	\N	19055178
179	chr14	Forward	19055351	\N	19055350
180	chr14	Forward	19057714	\N	19057713
181	chr14	Forward	19057783	\N	19057782
182	chr14	Forward	19059977	\N	19059976
183	chr14	Forward	19060169	\N	19060168
184	chr14	Forward	19061602	\N	19061601
185	chr14	Forward	19066085	\N	19066084
186	chr14	Forward	19066089	\N	19066088
187	chr14	Forward	19066174	\N	19066173
188	chr14	Forward	19066305	\N	19066304
189	chr14	Forward	19066371	\N	19066370
190	chr14	Forward	19066549	\N	19066548
191	chr14	Forward	19066700	\N	19066699
192	chr14	Forward	19067080	\N	19067079
193	chr14	Forward	19067231	\N	19067230
194	chr14	Forward	19067693	\N	19067692
195	chr14	Forward	19067949	\N	19067948
196	chr14	Forward	19068502	\N	19068501
197	chr14	Forward	19068592	\N	19068591
198	chr14	Forward	19069142	\N	19069141
199	chr14	Forward	19071810	\N	19071809
200	chr14	Forward	19071913	\N	19071912
201	chr14	Forward	19071955	\N	19071954
202	chr14	Forward	19071964	\N	19071963
203	chr14	Forward	19072133	\N	19072132
204	chr14	Forward	19072329	\N	19072328
205	chr14	Forward	19072772	\N	19072771
206	chr14	Forward	19072810	\N	19072809
207	chr14	Forward	19073002	\N	19073001
208	chr14	Forward	19073032	\N	19073031
209	chr14	Forward	19073156	\N	19073155
210	chr14	Forward	19073582	\N	19073581
211	chr14	Forward	19074785	\N	19074784
212	chr14	Forward	19075167	\N	19075166
213	chr14	Forward	19075695	\N	19075694
214	chr14	Forward	19077551	\N	19077550
215	chr14	Forward	19078544	\N	19078543
216	chr14	Forward	19079063	\N	19079062
217	chr14	Forward	19079161	\N	19079160
218	chr14	Forward	19079257	\N	19079256
219	chr14	Forward	19079631	\N	19079630
220	chr14	Forward	19079652	\N	19079651
221	chr14	Forward	19079843	\N	19079842
222	chr14	Forward	19080172	\N	19080171
223	chr14	Forward	19080821	\N	19080820
224	chr14	Forward	19081025	\N	19081024
225	chr14	Forward	19084360	\N	19084359
226	chr14	Forward	19086166	\N	19086165
227	chr14	Forward	19087872	\N	19087871
228	chr14	Forward	19088748	\N	19088747
229	chr14	Forward	19088927	\N	19088926
230	chr14	Forward	19088972	\N	19088971
231	chr14	Forward	19089049	\N	19089048
232	chr14	Forward	19089050	\N	19089049
233	chr14	Forward	19089155	\N	19089154
234	chr14	Forward	19089464	\N	19089463
235	chr14	Forward	19090544	\N	19090543
236	chr14	Forward	19091043	\N	19091042
237	chr14	Forward	19091044	\N	19091043
238	chr14	Forward	19093957	\N	19093956
239	chr14	Forward	19093958	\N	19093957
240	chr14	Forward	19094615	\N	19094614
241	chr14	Forward	19094753	\N	19094752
242	chr14	Forward	19094945	\N	19094944
243	chr14	Forward	19095384	\N	19095383
244	chr14	Forward	19095489	\N	19095488
245	chr14	Forward	19096807	\N	19096806
246	chr14	Forward	19097076	\N	19097075
247	chr14	Forward	19097092	\N	19097091
248	chr14	Forward	19097718	\N	19097717
249	chr14	Forward	19097819	\N	19097818
250	chr14	Forward	19098518	\N	19098517
251	chr14	Forward	19098586	\N	19098585
252	chr14	Forward	19099015	\N	19099014
253	chr14	Forward	19099196	\N	19099195
254	chr14	Forward	19099242	\N	19099241
255	chr14	Forward	19099259	\N	19099258
256	chr14	Forward	19099317	\N	19099316
257	chr14	Forward	19099355	\N	19099354
